Country,Ranking criterion,Quintile1,Metric,Variable,Value,Level 1 ,Category,Year,Calc Type,Quintile,lower,lower1
AT,educ,4,Employment change,"Temporary,11_22",179.525,Contractual status,Temporary,2011–2022,Education,Mid-high,temporary,education
AT,educ,4,Employment change,"Temporary,11_19",-5763.265,Contractual status,Temporary,2011–2019,Education,Mid-high,temporary,education
AT,educ,4,Employment change,"Temporary,19_22",5942.79,Contractual status,Temporary,2019–2022,Education,Mid-high,temporary,education
AT,educ,4,Employment change,"Male,11_22",-4384.958,Gender,Male,2011–2022,Education,Mid-high,male,education
AT,educ,4,Employment change,"Male,11_19",-7125.598,Gender,Male,2011–2019,Education,Mid-high,male,education
AT,educ,4,Employment change,"Male,19_22",2740.64,Gender,Male,2019–2022,Education,Mid-high,male,education
AT,educ,4,Employment change,"Female,11_22",-2784.563,Gender,Female,2011–2022,Education,Mid-high,female,education
AT,educ,4,Employment change,"Female,11_19",-40768.16,Gender,Female,2011–2019,Education,Mid-high,female,education
AT,educ,4,Employment change,"Female,19_22",37983.6,Gender,Female,2019–2022,Education,Mid-high,female,education
AT,educ,4,Employment change,"Private services,11_22",-1641.547,Sector,Private services,2011–2022,Education,Mid-high,private services,education
AT,educ,4,Employment change,"Private services,11_19",-1626.227,Sector,Private services,2011–2019,Education,Mid-high,private services,education
AT,educ,4,Employment change,"Private services,19_22",-15.32,Sector,Private services,2019–2022,Education,Mid-high,private services,education
AT,educ,4,Employment change,"Public services,11_22",-24370.99,Sector,Public services,2011–2022,Education,Mid-high,public services,education
AT,educ,4,Employment change,"Public services,11_19",-53524.47,Sector,Public services,2011–2019,Education,Mid-high,public services,education
AT,educ,4,Employment change,"Public services,19_22",29153.48,Sector,Public services,2019–2022,Education,Mid-high,public services,education
AT,educ,4,Employment change,"Manuf/utils,11_22",10376.8,Sector,Manufacturing/utilties,2011–2022,Education,Mid-high,manufacturing/utilties,education
AT,educ,4,Employment change,"Manuf/utils,11_19",2954.169,Sector,Manufacturing/utilties,2011–2019,Education,Mid-high,manufacturing/utilties,education
AT,educ,4,Employment change,"Manuf/utils,19_22",7422.627,Sector,Manufacturing/utilties,2019–2022,Education,Mid-high,manufacturing/utilties,education
AT,educ,4,Employment change,"Construction,11_22",7909.983,Sector,Construction,2011–2022,Education,Mid-high,construction,education
AT,educ,4,Employment change,"Construction,11_19",5802.51,Sector,Construction,2011–2019,Education,Mid-high,construction,education
AT,educ,4,Employment change,"Construction,19_22",2107.472,Sector,Construction,2019–2022,Education,Mid-high,construction,education
AT,educ,4,Employment change,"Agric/extractive,11_22",549.5555,Sector,Agriculture,2011–2022,Education,Mid-high,agriculture,education
AT,educ,4,Employment change,"Agric/extractive,11_19",-700.4218,Sector,Agriculture,2011–2019,Education,Mid-high,agriculture,education
AT,educ,4,Employment change,"Agric/extractive,19_22",1249.977,Sector,Agriculture,2019–2022,Education,Mid-high,agriculture,education
AT,educ,4,Employment change,"15-29,11_22",-17109.41,Age,15–29,2011–2022,Education,Mid-high,15–29,education
AT,educ,4,Employment change,"15-29,11_19",-24906.41,Age,15–29,2011–2019,Education,Mid-high,15–29,education
AT,educ,4,Employment change,"15-29,19_22",7797.001,Age,15–29,2019–2022,Education,Mid-high,15–29,education
AT,educ,4,Employment change,"30-49,11_22",-59029.99,Age,30–49,2011–2022,Education,Mid-high,30–49,education
AT,educ,4,Employment change,"30-49,11_19",-72443.3,Age,30–49,2011–2019,Education,Mid-high,30–49,education
AT,educ,4,Employment change,"30-49,19_22",13413.31,Age,30–49,2019–2022,Education,Mid-high,30–49,education
AT,educ,4,Employment change,"50-64,11_22",72356.72,Age,50–64,2011–2022,Education,Mid-high,50–64,education
AT,educ,4,Employment change,"50-64,11_19",55313.54,Age,50–64,2011–2019,Education,Mid-high,50–64,education
AT,educ,4,Employment change,"50-64,19_22",17043.18,Age,50–64,2019–2022,Education,Mid-high,50–64,education
AT,educ,5,Employment change,"All employment,11_22",388183.5,All,All,2011–2022,Education,High,all,education
AT,educ,5,Employment change,"All employment,11_19",307169.9,All,All,2011–2019,Education,High,all,education
AT,educ,5,Employment change,"All employment,19_22",81013.61,All,All,2019–2022,Education,High,all,education
AT,educ,5,Employment change,"Non-core,11_22",225253.1,Core/non-core,Noncore,2011–2022,Education,High,noncore,education
AT,educ,5,Employment change,"Non-core,11_19",161908.1,Core/non-core,Noncore,2011–2019,Education,High,noncore,education
AT,educ,5,Employment change,"Non-core,19_22",63344.95,Core/non-core,Noncore,2019–2022,Education,High,noncore,education
AT,educ,5,Employment change,"Core,11_22",162770.6,Core/non-core,Core,2011–2022,Education,High,core,education
AT,educ,5,Employment change,"Core,11_19",145263.2,Core/non-core,Core,2011–2019,Education,High,core,education
AT,educ,5,Employment change,"Core,19_22",17507.49,Core/non-core,Core,2019–2022,Education,High,core,education
AT,educ,5,Employment change,"Full-time,11_22",191259.2,Working hours,Full time,2011–2022,Education,High,full time,education
AT,educ,5,Employment change,"Full-time,11_19",184216.2,Working hours,Full time,2011–2019,Education,High,full time,education
AT,educ,5,Employment change,"Full-time,19_22",7043.048,Working hours,Full time,2019–2022,Education,High,full time,education
AT,educ,5,Employment change,"Part-time,11_22",197018.8,Working hours,Part time,2011–2022,Education,High,part time,education
AT,educ,5,Employment change,"Part-time,11_19",123107.8,Working hours,Part time,2011–2019,Education,High,part time,education
AT,educ,5,Employment change,"Part-time,19_22",73911.03,Working hours,Part time,2019–2022,Education,High,part time,education
AT,educ,5,Employment change,"Employee,11_22",361310.2,Employment status,Employee,2011–2022,Education,High,employee,education
