Topic,Indicator name,Top category,Country Name,Country Code,Category,Value,Count
Affordability,Housing cost overburden rate (>40% of income),Household type,Germany,DE,Lone parent with children,0.167859361,5589
Affordability,Housing cost overburden rate (>40% of income),Household type,Germany,DE,"Couple, no children",0.117973022,21948
Affordability,Housing cost overburden rate (>40% of income),Household type,Germany,DE,"Couple, with children",0.097568505,27965
Affordability,Housing cost overburden rate (>40% of income),Household type,Denmark,DK,One-person hhold,0.392792761,2610
Affordability,Housing cost overburden rate (>40% of income),Household type,Denmark,DK,Lone parent with children,0.242549896,708
Affordability,Housing cost overburden rate (>40% of income),Household type,Denmark,DK,"Couple, no children",0.061743394,4458
Affordability,Housing cost overburden rate (>40% of income),Household type,Denmark,DK,"Couple, with children",0.026557894,3480
Affordability,Housing cost overburden rate (>40% of income),Household type,Estonia,EE,One-person hhold,0.185626552,1834
Affordability,Housing cost overburden rate (>40% of income),Household type,Estonia,EE,Lone parent with children,0.135971412,1117
Affordability,Housing cost overburden rate (>40% of income),Household type,Estonia,EE,"Couple, no children",0.050466798,3006
Affordability,Housing cost overburden rate (>40% of income),Household type,Estonia,EE,"Couple, with children",0.030771339,5708
Affordability,Housing cost overburden rate (>40% of income),Household type,Greece,EL,One-person hhold,0.623716712,3733
Affordability,Housing cost overburden rate (>40% of income),Household type,Greece,EL,Lone parent with children,0.38143748,1761
Affordability,Housing cost overburden rate (>40% of income),Household type,Greece,EL,"Couple, no children",0.205521688,6533
Affordability,Housing cost overburden rate (>40% of income),Household type,Greece,EL,"Couple, with children",0.219333708,10574
Affordability,Housing cost overburden rate (>40% of income),Household type,Spain,ES,One-person hhold,0.201221466,6862
Affordability,Housing cost overburden rate (>40% of income),Household type,Spain,ES,Lone parent with children,0.135570318,7070
Affordability,Housing cost overburden rate (>40% of income),Household type,Spain,ES,"Couple, no children",0.063461475,12424
Affordability,Housing cost overburden rate (>40% of income),Household type,Spain,ES,"Couple, with children",0.056490313,34247
Affordability,Housing cost overburden rate (>40% of income),Household type,Finland,FI,One-person hhold,0.150323153,2301
Affordability,Housing cost overburden rate (>40% of income),Household type,Finland,FI,Lone parent with children,0.054355718,1227
Affordability,Housing cost overburden rate (>40% of income),Household type,Finland,FI,"Couple, no children",0.017404078,6831
Affordability,Housing cost overburden rate (>40% of income),Household type,Finland,FI,"Couple, with children",0.016496494,10482
Affordability,Housing cost overburden rate (>40% of income),Household type,France,FR,One-person hhold,0.251987517,5793
Affordability,Housing cost overburden rate (>40% of income),Household type,France,FR,Lone parent with children,0.158423394,3935
Affordability,Housing cost overburden rate (>40% of income),Household type,France,FR,"Couple, no children",0.087444186,10166
Affordability,Housing cost overburden rate (>40% of income),Household type,France,FR,"Couple, with children",0.126100138,16641
Affordability,Housing cost overburden rate (>40% of income),Household type,Croatia,HR,One-person hhold,0.167147353,2750
Affordability,Housing cost overburden rate (>40% of income),Household type,Croatia,HR,Lone parent with children,0.067520998,1546
Affordability,Housing cost overburden rate (>40% of income),Household type,Croatia,HR,"Couple, no children",0.052727312,4356
Affordability,Housing cost overburden rate (>40% of income),Household type,Croatia,HR,"Couple, with children",0.017482093,7814
Affordability,Housing cost overburden rate (>40% of income),Household type,Hungary,HU,One-person hhold,0.168680623,3077
Affordability,Housing cost overburden rate (>40% of income),Household type,Hungary,HU,Lone parent with children,0.120954908,580
Affordability,Housing cost overburden rate (>40% of income),Household type,Hungary,HU,"Couple, no children",0.048937045,4238
Affordability,Housing cost overburden rate (>40% of income),Household type,Hungary,HU,"Couple, with children",0.073012233,6886
Affordability,Housing cost overburden rate (>40% of income),Household type,Ireland,IE,One-person hhold,0.155543074,1301
Affordability,Housing cost overburden rate (>40% of income),Household type,Ireland,IE,Lone parent with children,0.041504845,853
Affordability,Housing cost overburden rate (>40% of income),Household type,Ireland,IE,"Couple, no children",0.032274287,2098
Affordability,Housing cost overburden rate (>40% of income),Household type,Ireland,IE,"Couple, with children",0.033818077,4800
Affordability,Housing cost overburden rate (>40% of income),Household type,Lithuania,LT,One-person hhold,0.094668664,2685
Affordability,Housing cost overburden rate (>40% of income),Household type,Lithuania,LT,Lone parent with children,0.070417859,1542
Affordability,Housing cost overburden rate (>40% of income),Household type,Lithuania,LT,"Couple, no children",0.037528407,3358
Affordability,Housing cost overburden rate (>40% of income),Household type,Lithuania,LT,"Couple, with children",0.027933914,3628
Affordability,Housing cost overburden rate (>40% of income),Household type,Luxembourg,LU,One-person hhold,0.399472117,1535
Affordability,Housing cost overburden rate (>40% of income),Household type,Luxembourg,LU,Lone parent with children,0.448639154,695
Affordability,Housing cost overburden rate (>40% of income),Household type,Luxembourg,LU,"Couple, no children",0.229501754,2626
Affordability,Housing cost overburden rate (>40% of income),Household type,Luxembourg,LU,"Couple, with children",0.359345824,4468
Affordability,Housing cost overburden rate (>40% of income),Household type,Latvia,LV,One-person hhold,0.220099881,2375
Affordability,Housing cost overburden rate (>40% of income),Household type,Latvia,LV,Lone parent with children,0.189432874,1561
Affordability,Housing cost overburden rate (>40% of income),Household type,Latvia,LV,"Couple, no children",0.094567187,2436
Affordability,Housing cost overburden rate (>40% of income),Household type,Latvia,LV,"Couple, with children",0.074453041,4040
Affordability,Housing cost overburden rate (>40% of income),Household type,Malta,MT,One-person hhold,0.128295824,1079
Affordability,Housing cost overburden rate (>40% of income),Household type,Malta,MT,Lone parent with children,0.041634139,957
Affordability,Housing cost overburden rate (>40% of income),Household type,Malta,MT,"Couple, no children",0.054607432,2458
Affordability,Housing cost overburden rate (>40% of income),Household type,Malta,MT,"Couple, with children",0.05037858,5490
Affordability,Housing cost overburden rate (>40% of income),Household type,Netherlands,NL,One-person hhold,0.340683103,4544
Affordability,Housing cost overburden rate (>40% of income),Household type,Netherlands,NL,Lone parent with children,0.077363625,1275
Affordability,Housing cost overburden rate (>40% of income),Household type,Netherlands,NL,"Couple, no children",0.06532792,9391
Affordability,Housing cost overburden rate (>40% of income),Household type,Netherlands,NL,"Couple, with children",0.016641337,10918
Affordability,Housing cost overburden rate (>40% of income),Household type,Poland,PL,One-person hhold,0.285585403,4947
Affordability,Housing cost overburden rate (>40% of income),Household type,Poland,PL,Lone parent with children,0.15686357,3561
Affordability,Housing cost overburden rate (>40% of income),Household type,Poland,PL,"Couple, no children",0.119057596,10341
Affordability,Housing cost overburden rate (>40% of income),Household type,Poland,PL,"Couple, with children",0.103057854,18679
Affordability,Housing cost overburden rate (>40% of income),Household type,Portugal,PT,One-person hhold,0.105335586,3368
Affordability,Housing cost overburden rate (>40% of income),Household type,Portugal,PT,Lone parent with children,0.085446373,3479
Affordability,Housing cost overburden rate (>40% of income),Household type,Portugal,PT,"Couple, no children",0.030697348,8288
Affordability,Housing cost overburden rate (>40% of income),Household type,Portugal,PT,"Couple, with children",0.040346622,14143
Affordability,Housing cost overburden rate (>40% of income),Household type,Romania,RO,One-person hhold,0.219707415,2180
Affordability,Housing cost overburden rate (>40% of income),Household type,Romania,RO,Lone parent with children,0.128078878,672
Affordability,Housing cost overburden rate (>40% of income),Household type,Romania,RO,"Couple, no children",0.063167229,4514
Affordability,Housing cost overburden rate (>40% of income),Household type,Romania,RO,"Couple, with children",0.068749063,3036
Affordability,Housing cost overburden rate (>40% of income),Household type,Sweden,SE,One-person hhold,0.333373755,2493
Affordability,Housing cost overburden rate (>40% of income),Household type,Sweden,SE,Lone parent with children,0.155014575,1503
Affordability,Housing cost overburden rate (>40% of income),Household type,Sweden,SE,"Couple, no children",0.046545018,6380
Affordability,Housing cost overburden rate (>40% of income),Household type,Sweden,SE,"Couple, with children",0.061579838,11115
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovenia,SI,One-person hhold,0.130676463,1412
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovenia,SI,Lone parent with children,0.065848783,1340
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovenia,SI,"Couple, no children",0.029879894,4928
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovenia,SI,"Couple, with children",0.018436173,12229
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovakia,SK,One-person hhold,0.306649745,1640
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovakia,SK,Lone parent with children,0.094187908,1341
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovakia,SK,"Couple, no children",0.048805684,3018
Affordability,Housing cost overburden rate (>40% of income),Household type,Slovakia,SK,"Couple, with children",0.057260185,5358
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Austria,AT,Foreign born,0.138556167,1753
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Austria,AT,Native,0.040646516,10729
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Belgium,BE,Foreign born,0.157534018,2495
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Belgium,BE,Native,0.061855927,11752
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Bulgaria,BG,Foreign born,0.208588064,77
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Bulgaria,BG,Native,0.110724263,17997
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Cyprus,CY,Foreign born,0.093437858,1611
Affordability,Housing cost overburden rate (>40% of income),Foreign or native born,Cyprus,CY,Native,0.013274577,9139
