Country,Year,Breakdown,Value,Column,Flag,Column1,ID
Slovenia,2020,FROM 3 NON AROPE,97,,,,Children in formal childcare or education 
Slovenia,2021,FROM 3 NON AROPE,88.2,,,,Children in formal childcare or education 
Slovenia,2022,FROM 3 NON AROPE,97.1,,,,Children in formal childcare or education 
Slovenia,2023,FROM 3 NON AROPE,97,,,,Children in formal childcare or education 
Slovenia,2024,FROM 3 NON AROPE,97.5,,,,Children in formal childcare or education 
Spain,2015,FROM 3 NON AROPE,94.9,,,,Children in formal childcare or education 
Spain,2016,FROM 3 NON AROPE,97.4,,,,Children in formal childcare or education 
Spain,2017,FROM 3 NON AROPE,96.9,,,,Children in formal childcare or education 
Spain,2018,FROM 3 NON AROPE,96.7,,,,Children in formal childcare or education 
Spain,2019,FROM 3 NON AROPE,98.8,,,,Children in formal childcare or education 
Spain,2020,FROM 3 NON AROPE,98.2,,,,Children in formal childcare or education 
Spain,2021,FROM 3 NON AROPE,99.1,,,,Children in formal childcare or education 
Spain,2022,FROM 3 NON AROPE,98.1,,,,Children in formal childcare or education 
Spain,2023,FROM 3 NON AROPE,98.8,,,,Children in formal childcare or education 
Spain,2024,FROM 3 NON AROPE,99,,,,Children in formal childcare or education 
Sweden,2015,FROM 3 NON AROPE,97.5,,,,Children in formal childcare or education 
Sweden,2016,FROM 3 NON AROPE,97.8,,,,Children in formal childcare or education 
Sweden,2017,FROM 3 NON AROPE,98.9,,,,Children in formal childcare or education 
Sweden,2018,FROM 3 NON AROPE,96.8,,,,Children in formal childcare or education 
Sweden,2019,FROM 3 NON AROPE,97.1,,,,Children in formal childcare or education 
Sweden,2020,FROM 3 NON AROPE,96.8,,,,Children in formal childcare or education 
Sweden,2021,FROM 3 NON AROPE,98.2,,,,Children in formal childcare or education 
Sweden,2022,FROM 3 NON AROPE,98.7,,,,Children in formal childcare or education 
Sweden,2023,FROM 3 NON AROPE,99.5,,,,Children in formal childcare or education 
Sweden,2024,FROM 3 NON AROPE,99,,,,Children in formal childcare or education 
Austria,2015,Sheet 1 ALL CHILDREN UNDER 3,22.3,,,,Children in formal childcare or education 
Austria,2016,Sheet 1 ALL CHILDREN UNDER 3,20.5,,,,Children in formal childcare or education 
Austria,2017,Sheet 1 ALL CHILDREN UNDER 3,18.2,,,,Children in formal childcare or education 
Austria,2018,Sheet 1 ALL CHILDREN UNDER 3,20,,,,Children in formal childcare or education 
Austria,2019,Sheet 1 ALL CHILDREN UNDER 3,22.6,,,,Children in formal childcare or education 
Austria,2020,Sheet 1 ALL CHILDREN UNDER 3,21.1,,,,Children in formal childcare or education 
Austria,2021,Sheet 1 ALL CHILDREN UNDER 3,28.6,,,,Children in formal childcare or education 
Austria,2022,Sheet 1 ALL CHILDREN UNDER 3,23,,,,Children in formal childcare or education 
Austria,2023,Sheet 1 ALL CHILDREN UNDER 3,24.1,,,,Children in formal childcare or education 
Austria,2024,Sheet 1 ALL CHILDREN UNDER 3,30.2,,,,Children in formal childcare or education 
Belgium,2015,Sheet 1 ALL CHILDREN UNDER 3,50.1,,,,Children in formal childcare or education 
Belgium,2016,Sheet 1 ALL CHILDREN UNDER 3,43.9,,,,Children in formal childcare or education 
Belgium,2017,Sheet 1 ALL CHILDREN UNDER 3,53.2,,,,Children in formal childcare or education 
Belgium,2018,Sheet 1 ALL CHILDREN UNDER 3,54.4,,,,Children in formal childcare or education 
Belgium,2019,Sheet 1 ALL CHILDREN UNDER 3,55.5,,b,,Children in formal childcare or education 
Belgium,2020,Sheet 1 ALL CHILDREN UNDER 3,54.5,,,,Children in formal childcare or education 
Belgium,2021,Sheet 1 ALL CHILDREN UNDER 3,51.7,,,,Children in formal childcare or education 
Belgium,2022,Sheet 1 ALL CHILDREN UNDER 3,52.7,,,,Children in formal childcare or education 
Belgium,2023,Sheet 1 ALL CHILDREN UNDER 3,56.3,,,,Children in formal childcare or education 
Belgium,2024,Sheet 1 ALL CHILDREN UNDER 3,52.3,,,,Children in formal childcare or education 
Bulgaria,2015,Sheet 1 ALL CHILDREN UNDER 3,8.9,,,,Children in formal childcare or education 
Bulgaria,2016,Sheet 1 ALL CHILDREN UNDER 3,12.5,,,,Children in formal childcare or education 
Bulgaria,2017,Sheet 1 ALL CHILDREN UNDER 3,9.4,,,,Children in formal childcare or education 
Bulgaria,2018,Sheet 1 ALL CHILDREN UNDER 3,16.3,,,,Children in formal childcare or education 
Bulgaria,2019,Sheet 1 ALL CHILDREN UNDER 3,19.7,,,,Children in formal childcare or education 
Bulgaria,2020,Sheet 1 ALL CHILDREN UNDER 3,15,,,,Children in formal childcare or education 
Bulgaria,2021,Sheet 1 ALL CHILDREN UNDER 3,18.7,,,,Children in formal childcare or education 
Bulgaria,2022,Sheet 1 ALL CHILDREN UNDER 3,17.3,,,,Children in formal childcare or education 
Bulgaria,2023,Sheet 1 ALL CHILDREN UNDER 3,17.4,,,,Children in formal childcare or education 
